restaurant_id,restaurant_name,category,location,price_range,overall_rating,review_rating,review_text,review_date,reviewer_name,source
rg_444ee6f10b,Restaurante Santa Rita | Comida Española Panamá,"Española, Argentina, Churrasquería",Panamá,$$,4.9,,"Pésima comida, mala atención y lo peor te meten dólares falsos aprovechando la poca luz del lugar. Cuando reclamas obviamente se hacen los desentendidos. Si no quieren vivir una mala experiencia, NO VALLAN!! Food: 1 Service: 1 Atmosphere: 1 Price per person: PAB 30–35",,,restaurantguru
rg_444ee6f10b,Restaurante Santa Rita | Comida Española Panamá,"Española, Argentina, Churrasquería",Panamá,$$,4.9,,"Fuimos a cenar en Santa Rita en nuestra última noche en Panamá y fue, sin exagerar, uno de los mejores momentos del viaje. El lugar es hermoso, con un ambiente cálido y elegante que invita a relajarse y disfrutar. Pero lo que realmente marca la diferencia es la atención: impecable, cercana y genuina. Incluso la dueña, argentina, se acercó a saludarnos, y ese gesto hizo que la experiencia se sintiera todavía más especial y personalizada. Decidimos compartir varias entradas y platos, y cada uno superó al anterior. Los buñuelos de bacalao estaban increíbles, el portobello lleno de sabor y la tortilla de papas con trufa directamente espectacular. De principales, el salmón con papas y la pesca del día con risotto de hongos fueron de un nivel altísimo, con productos de calidad y una ejecución impecable. Se nota cuando hay pasión detrás de un proyecto, y Santa Rita lo transmite en cada detalle: en la comida, en el servicio y en el ambiente. Es de esos lugares que no solo recomendás, sino que realmente querés que otros descubran. Sin duda volveríamos. Gracias por una noche inolvidable. Food: 5 Service: 5 Atmosphere: 5 Price per person: PAB 40–45",,,restaurantguru
rg_fbbb5f433a,Valenti's Pizzería y Restaurante,Italiana,Panamá,$$,4.9,,Evelyn nos atendió muy bien y nos explicó muy bien el menú. Súper atenta. Food: 5 Service: 5 Atmosphere: 5,,,restaurantguru
rg_fbbb5f433a,Valenti's Pizzería y Restaurante,Italiana,Panamá,$$,4.9,,"Es lamentable como un restaurante ""italiano"" no sea dueño un Italiano, si no un Nicaragüense, es por eso que sus platillos no ameritan el costo. No engañen a los clientes. Mejor abra un restaurante de sus comidas típicas y creo que les irá mejor. Food: 1 Service: 1 Atmosphere: 1",,,restaurantguru
rg_fbbb5f433a,Valenti's Pizzería y Restaurante,Italiana,Panamá,$$,4.9,,"Qué asco de atención. Nunca pensé que por revisar una factura nos fueran a tratar de esa manera. En vez de explicar el cobro, el personal empezó a insultarnos y a hacernos sentir como si no tuviéramos dinero para pagar, cuando hemos sido clientes frecuentes del lugar. Lo más indignante fue que, mientras ya estábamos pagando, cerraron la puerta y no nos dejaban salir. Tuvimos que exigir que la abrieran y, como si nosotros fuéramos los problemáticos, llamaron a la policía. Todo porque nos atrevimos a cuestionar una factura que considerábamos mal hecha. Si así tratan a clientes que iban todas las semanas, no me imagino cómo tratarán a alguien que va por primera vez. Cero profesionalismo, cero respeto y una experiencia que no le deseo a nadie. Nunca más. Food: 1 Service: 1 Atmosphere: 1 Meal type: Other Price per person: PAB 50+",,,restaurantguru
rg_45cfe9fd60,Kaandela Restaurant,Panameña,Panamá,$$$,4.9,,"Desde el principio hasta el final la experiencia estuvo increíble, todos los platos muy sabroso, aparte la atención de Kei y Abdiel hizo la noche perfecta. Volvería de nuevo. Food: 5 Service: 5 Atmosphere: 5 Order type: Dine in Meal type: Dinner Price per person: PAB 30–35",,,restaurantguru
rg_45cfe9fd60,Kaandela Restaurant,Panameña,Panamá,$$$,4.9,,"Excelente servicio por parte de Isaac en las bebidas, y por parte de Jaime en servicio completo. Food: 5 Service: 5 Atmosphere: 5 Meal type: Other Price per person: PAB 1–5",,,restaurantguru
rg_45cfe9fd60,Kaandela Restaurant,Panameña,Panamá,$$$,4.9,,"Hoy fuimos a Kaandela Restaurant en Casco Viejo y de verdad fue una experiencia espectacular. Todo lo que probamos estuvo ABSOLUTAMENTE delicioso: los Pork Belly Pops, los taquitos de lengua, las koftas de cordero y el puerquito al tamarindo… cada platillo mejor que el otro. Y para cerrar, el postre “Buscando Guayaba” fue simplemente increíble. Pero además de la comida, el servicio hizo toda la diferencia. Luis Futbol nos explicó cada platillo con muchísimo detalle y pasión, haciendo que toda la experiencia se sintiera súper especial y memorable. Isaac, encargado de las bebidas, fue súper amable y además las limonadas de coco estaban deli deli. Jaime también fue un excelente colaborador y nos hizo sentir súper bien atendidas en todo momento. De verdad, no tengo nada malo que decir: comida espectacular, servicio hermoso y una experiencia que definitivamente vale la pena vivir si están en Casco Viejo. Food: 5 Service: 5 Atmosphere: 4 Meal type: Dinner Price per person: PAB 45–50",hace un mes,,restaurantguru
rg_4adf3d21b7,Applebee's Grill + Bar | Town Center Costa del Este,Americana,Panamá,$$,4.9,,"Excelente atención del joven Edwin, 10/10 el servicio y la comida. Food: 5 Service: 5 Atmosphere: 5 Order type: Dine in Meal type: Dinner Price per person: PAB 45–50",hace 8 días,,restaurantguru
rg_4adf3d21b7,Applebee's Grill + Bar | Town Center Costa del Este,Americana,Panamá,$$,4.9,,"Viviana , tiene un excelente servicio al cliente . Food: 3 Service: 5 Atmosphere: 5",hace 8 días,,restaurantguru
rg_4adf3d21b7,Applebee's Grill + Bar | Town Center Costa del Este,Americana,Panamá,$$,4.9,,La comida estaba muy rica y muy buena la atención de Viviana! Food: 5 Service: 5 Atmosphere: 5 Order type: Dine in Meal type: Lunch Price per person: PAB 15–20,hace 8 días,,restaurantguru
rg_591229fea4,Restaurante Casablanca,"Latinoamericana, Mediterránea, Pescado y marisco",Panamá,$$,4.9,,"Excelente atención de Diana, super recomendado el lugar. Food: 5 Service: 5 Atmosphere: 5",,,restaurantguru
rg_591229fea4,Restaurante Casablanca,"Latinoamericana, Mediterránea, Pescado y marisco",Panamá,$$,4.9,,un lugar ameno para tomarse una copas y cena ligera con un buen ambiente y servicio. Food: 4 Service: 5 Atmosphere: 5 Meal type: Dinner,,,restaurantguru
rg_591229fea4,Restaurante Casablanca,"Latinoamericana, Mediterránea, Pescado y marisco",Panamá,$$,4.9,,"OMG. I’m in Heaven. A GIN Bar with ceviches. Not just gin, but 27 different gins. The only other place I have been to with more gins is where gin came from, Great Britain (a pub with 60 different gins the best being Whitney Neal original.) Caracruda is absolutely fantastic. From the small, intimate, welcoming piano bar music to the melt in your mouth fish mango ceviche to the hands down best grilled sea bass from the owners’ restaurant next door, Restaurante Casablanca, you will be in Heaven too. The service was impeccable. The atmosphere perfect. I’m coming back again before I leave Panama City. Food: 5 Service: 5 Atmosphere: 5 Meal type: Dinner Price per person: PAB 50+",hace 3 meses,,restaurantguru
rg_b4142d6e52,Afrodisíaco Italian Modern Kitchen,Italiana,Panamá,$$,4.9,,"Comida muy rica, atención excepcional y ambiente agradable! Vida larga a rosanegra!",,,restaurantguru
rg_b4142d6e52,Afrodisíaco Italian Modern Kitchen,Italiana,Panamá,$$,4.9,,"Un restaurante increíble! La chef fue a nuestra mesa para hablar sobre el menú, fue servicio perfecta. Los meseros nos ayudaron mucho y fueron muy amables. Y la comidamuy rica!!",,,restaurantguru
rg_b4142d6e52,Afrodisíaco Italian Modern Kitchen,Italiana,Panamá,$$,4.9,,"Afrodisíaco Italian Modern Kitchen delivers one of the most elegant Italian dining experiences in Panamá City. From the refined bread basket with fine olive oil and spreads, to the perfectly al dente gnocchi gorgonzola—light as clouds with a flawless balance of gorgonzola and cream—every bite was pure goosebumps. The meal concluded with a heavenly, perfectly balanced mascarpone dessert. Even the bathroom was immaculate and beautifully curated with angelic and heart motifs. Meeting the chef was a highlight—an inspiring conversation full of synergy that mirrored the soul of the restaurant itself. Thank you to the owner and team for making this Saturday lunch with great friends one of the most memorable luncheons of my 45-year lifetime. A must-visit Italian restaurant on Av. A in Panamá. Thank You Angel!! Food: 5 Service: 5 Atmosphere: 5",,,restaurantguru
rg_059d781f42,LAZOTEA | Jorge Rausch,"Internacional, Latinoamericana",Panamá,$$,4.9,,"Estuvimos cenando un grupo de 22 personas, resaltar el buen servicio, el ceviche y el postre de tarta de queso, ESPECTACULAR!! El ambiente es maravilloso y la atención inmejorable, parada obligatoria. Food: 5 Service: 5 Atmosphere: 5",,,restaurantguru
rg_059d781f42,LAZOTEA | Jorge Rausch,"Internacional, Latinoamericana",Panamá,$$,4.9,,"La comida y cócteles buenisimos, atención y la vistas top. Price per person: PAB 50+",,,restaurantguru
rg_059d781f42,LAZOTEA | Jorge Rausch,"Internacional, Latinoamericana",Panamá,$$,4.9,,"La mejor carta de vinos que he visto en Panamá. El servicio, comida y la hospitalidad es nivel top. Volveré. Food: 5 Service: 5 Atmosphere: 5",,,restaurantguru
rg_a8f2e2d650,Restaurante El Enemigo - Casco Antiguo,"Latinoamericana, Contemporanea, Churrasquería",Panamá,$$,4.9,,"My husband and I spent our 20th anniversary in Panama and ate here twice. Both for breakfast dinner. Dinner at the rooftop was fabulous, our steaks were cooked perfectly and the quality was excellent. Issac was our server and he was as wonderful as the food was! He was very attentive to our needs and handled our lack of Spanish speaking well. The ambiance was enjoyable and I'm confident if we had hung out later, the nightlife would have been entertaining as well. Meal type: Dinner Price per person: PAB 50+ Food: 5 Service: 5 Atmosphere: 5",,,restaurantguru
rg_a8f2e2d650,Restaurante El Enemigo - Casco Antiguo,"Latinoamericana, Contemporanea, Churrasquería",Panamá,$$,4.9,,"Daniel was our server and he was truly wonderful! He took excellent care of us. The city view is phenomenal, and the food is delicious and inventive. We were seeking a place with great vibes for our one night in Panama City, and we found it Meal type: Dinner Price per person: PAB 40–45 Food: 5 Service: 5 Atmosphere: 5",,,restaurantguru
rg_a8f2e2d650,Restaurante El Enemigo - Casco Antiguo,"Latinoamericana, Contemporanea, Churrasquería",Panamá,$$,4.9,,"After reading the reviews in guidebooks and online, it decided to check out Restaurante El Enemigo. Downstairs, the hostess escorted me to the rooftop. The rooftop offers an excellent view of the city. My server, Daniel, gave some recommendations and knew everything about the menu. We decided on getting a trio of appetizers in order to try several different dishes. The ribeye tacos were AMAZING! The tenderloin smoked carpaccio was outstanding. Lastly, the nachos were fantastic! The drinks were also delicious. This is certainly one of the best restaurants in Casco Viejo. Thank you Daniel for a great night!! Meal type: Dinner Price per person: PAB 35–40 Food: 5 Service: 5 Atmosphere: 5",,,restaurantguru
rg_b0ac8332f7,Sugoi Caribbean Sushi - San Francisco,"Sushi, Asiática, Fusión, Japonesa",Panamá,$$,4.9,,Excelente comida. Muy buena atención. Buen ambiente musical. Food: 5 Service: 5 Atmosphere: 5 Price per person: PAB 10–15,,,restaurantguru
rg_b0ac8332f7,Sugoi Caribbean Sushi - San Francisco,"Sushi, Asiática, Fusión, Japonesa",Panamá,$$,4.9,,"Me gustaron mucho los Rolls, la promoción 3x2 estuvo buena, la sangría un poco suave para mi gusto. Gracias al mesero Ciro muy amable y servicial :D. Food: 4 Service: 5 Atmosphere: 5 Price per person: PAB 10–15",,,restaurantguru
rg_b0ac8332f7,Sugoi Caribbean Sushi - San Francisco,"Sushi, Asiática, Fusión, Japonesa",Panamá,$$,4.9,,Gracias el helado frito de cortesía. Food: 5 Service: 5 Atmosphere: 5,,,restaurantguru
rg_5f672a5d4f,Restaurante El Nacional Sabores de Panamá,Vegetariana,Panamá,$$,4.9,,"Got the sangria, ropa vieja & pollo grisa’u and was blown away by the deliciousness of all three. The ropa vieja was honestly as good as anything my tia — who is a phenomenally great cook — makes. I am very picky with meat, but adored both dishes. Got a strong feeling that I could eat at this place every day for a whole month & love everything without getting sick of it! Love how they served each dish with complementary delicious fried bread and salsa, how generous the portions were (neither me nor my Panamanian full grown man friend, who brought me here, could finish our meals ). And I also appreciated how the single dish felt like a true, healthy, full meal, with each of its five diverse component parts (meat/poultry, rice, beans, salad & sweet plantain) prepared to utter perfection. Service was speedy & friendly. Prices were reasonable. Location was great. A mixture of chair & booth seating inside, with seating on the beautiful old Spanish & French-style historical square on the outside. 5 stars! They also offer cooking classes at the restaurant in Panamanian cuisine, which I would benefit from by judging from how delicious these dishes were! Meal type: Dinner Price per person: PAB 20–25 Food: 5 Service: 5 Atmosphere: 5",,,restaurantguru
rg_5f672a5d4f,Restaurante El Nacional Sabores de Panamá,Vegetariana,Panamá,$$,4.9,,"An excellent place to go eat traditional Panamanian food in Panama! The portions are large, the seasoning tastes very homemade, which is exactly what you always look for in Panamanian cuisine. The service is 20/10, and the mamallena is beyond words — it’s that good. I always recommend it 200%! Meal type: Lunch Price per person: PAB 20–25 Food: 5 Service: 5 Atmosphere: 5 Vegetarian options: There are vegan options !",,,restaurantguru
rg_5f672a5d4f,Restaurante El Nacional Sabores de Panamá,Vegetariana,Panamá,$$,4.9,,"Very good restaurant where many tourists and few locals eat. Original Panamanian food selections with a touch of gourmet flare, very enjoyable. We had the corvina a lo macho, sea bass, and the mini fried octopus was really good and different. For dessert we enjoyed an unusual combination of rice pudding, coconut ice cream, topped with pineapple ""Foster"" style with a hint of aji, hot pepper...really nice and refreshing. Highly recommend if you like seafood, orore traditional local fare. Molto bene! Service was great too. Meal type: Lunch Price per person: PAB 20–25 Food: 4 Service: 4 Atmosphere: 4",,,restaurantguru
rg_c94acf9d19,Fosters VenVersalles,,Panamá,$$,4.9,,"La atención fue excelente, la música,todo pero la porción de papas está muy pequeña. Food: 5 Service: 5 Atmosphere: 5",,,restaurantguru
rg_c94acf9d19,Fosters VenVersalles,,Panamá,$$,4.9,,Me encanto no había ido me encanto,,,restaurantguru
rg_c94acf9d19,Fosters VenVersalles,,Panamá,$$,4.9,,La comida estuvo muy rica y la atencion fue excelente me encanto las dos chicas que me atendieron me trataron muy bien. Food: 5 Service: 5 Atmosphere: 5 Meal type: Dinner,,,restaurantguru
rg_956c1f3888,Austin Mama's Corozal (Railroad Station),Asado,Panamá,$$$,4.9,,"Un lugar un poco oculto. Nos costó bastante encontrarlo y no fue sino porque un guardia de seguridad nos bloqueó el paso y le explicamos que estábamos buscando el restaurante Austin, que él nos indicó dónde ubicarlo. Tiene buena disponibilidad de estacionamientos y el local es bastante amplio. La atención excelente. Ambiente de taberna gringa con un toque del ""viejo oeste"" toda adornada alusivo al tema. Música excelente!! sin tener que soportar la basura de reggaeton. Pedimos Brisket y hamburguesa. El Brisket súper suave, ni siquiera necesité el cuchillo para cortarlo. Precios bastante bajos, en mi opinión. Comida para dos con impuestos y propina en $35 aprox. Tiene un escenario para eventos en vivo. Definitivo un lugar donde voy a volver. Service: Dine in Meal type: Lunch Price per person: PAB 15–20 Food: 5 Service: 5 Atmosphere: 5",,,restaurantguru
rg_956c1f3888,Austin Mama's Corozal (Railroad Station),Asado,Panamá,$$$,4.9,,"The food and service were exceptional. Very welcoming staff that checked up on the group. Additionally, Andrés was a great server! Food: 5 Service: 5 Atmosphere: 5",,,restaurantguru
rg_956c1f3888,Austin Mama's Corozal (Railroad Station),Asado,Panamá,$$$,4.9,,Waitresses disappeared. Never refilled our water. Never came back to allow us to order more beer or drinks. Never offered dessert options. AUSTIN MAMA'S loss in revenue here here. Had to lasso a different Waitress to get our bill. This Waitress didn't even care. Price per person: PAB 45–50 Food: 5 Service: 3 Atmosphere: 5,,,restaurantguru
rg_c7e3a897f4,Maito,"Contemporanea, Panameña, Caribeña, Latinoamericana",Panamá,$$$$,4.9,,"Hermoso restaurant con sus diferentes salones y la cava de vinos espectacular! La renovación y el menú por pasos es sin duda un obligado si estás en la ciudad. (Los tragos no dejen de pedirlos, increíbles). Food: 5 Service: 5 Atmosphere: 5",,,restaurantguru
rg_c7e3a897f4,Maito,"Contemporanea, Panameña, Caribeña, Latinoamericana",Panamá,$$$$,4.9,,"Hoy, 24 de abril fuimos a comer tipo 2:30 y La Hostess, la stra joven en ese horario, al no haber lugar decidimos esperar con alguna bebida en el exterior, y preguntamos si nos podríamos sentar donde tiene en exterior la mesa y sillas, nos contestó q no, esa área es privada para el chef y solo podíamos en la banca de enfrente, pasaron 5 min. Y paso a esa área a una pareja por la misma razón q nosotras. Minutos después paso un gerente para ver si se ofrecía algo y al vernos en la banca, nos paso a la mesa con nuestra bebida. Por favor, eduquen a su gente elitista. Food: 5 Service: 3",,,restaurantguru
rg_c7e3a897f4,Maito,"Contemporanea, Panameña, Caribeña, Latinoamericana",Panamá,$$$$,4.9,,"Nuestra visita a Maito era algo que esperábamos con mucha ilusión. Reservamos una amiga y yo con entusiasmo para el evento de menú degustación en colaboración con un reconocido chef colombiano, motivadas por la excelente reputación del restaurante y su prestigioso reconocimiento en The World’s 50 Best Restaurants como uno de los mejores de Panamá. Lamentablemente, nuestra experiencia no estuvo a la altura de las expectativas. A pesar de contar con reserva, esperamos mas de una hora por nuestra mesa y al llegar se nos informó que no estábamos incluidas en el menú degustación, debiendo ordenar a la carta. Aunque el personal fue siempre amable y atento, y la comida estuvo bien ejecutada y presentada, sentimos que faltó la cohesión que caracterizan una experiencia gastronómica memorable. Entendemos que el evento pudo haber superado la capacidad operativa del lugar, y agradecemos los gestos de cortesía que tuvieron para compensar los inconvenientes. Sin embargo, consideramos que en un restaurante de esta categoría la experiencia debe ir más allá de una buena comida: debe ser sensorial, emocional y culturalmente integral. Reconocemos el talento del chef y el gran potencial del restaurante. Compartimos estos comentarios como áreas de oportunidad, con el deseo genuino de poder regresar y vivir plenamente la visión culinaria que Maito busca transmitir. Food: 5 Service: 3 Atmosphere: 4 Meal type: Dinner Price per person: PAB 45–50",,,restaurantguru
rg_72e99d54cf,Caleta,"Internacional, Saludable, Pescado y marisco",Panamá,$$$$,4.9,,"Excelente atención desde que entras al hotel , comida expectacular y la atencion de Juan Uziel en el restaurante se toma el tiempo de explicar cada plato y todas nuestras preguntas. Parking: Valet parking Service: Dine in Meal type: Dinner",,,restaurantguru
rg_72e99d54cf,Caleta,"Internacional, Saludable, Pescado y marisco",Panamá,$$$$,4.9,,"Decided to dine at Caleta on our last night in Panama City. Overall, we enjoyed our dinner. The atmosphere isn’t quite what you’d expect, it’s kind of dark and sectioned off like a steakhouse. Service was pretty close to on par with a Michelin starred restaurant. The drinks were fantastic and some of the best we had in Casco Viejo. The food was generally good, we thought the Lobster Gnocchi dish was disappointing. The pumpkin raviolo dish was misrepresented. We received Piramidali, not raviolo. The vegetable & green curry dish was very good and we enjoyed the mushroom tamale as well. Meal type: Dinner Price per person: PAB 50+ Food: 4 Service: 5 Atmosphere: 5",,,restaurantguru
rg_72e99d54cf,Caleta,"Internacional, Saludable, Pescado y marisco",Panamá,$$$$,4.9,,We had an excellent dinner here. Everything was superb. The food is delicious and the presentation was outstanding. Our server Juan was fantastic. Food: 5 Service: 5 Atmosphere: 5,,,restaurantguru
rg_045de5b93d,Sushi Express | Punta Pacifica,"Sushi, Japonesa",Panamá,$$,1.9,,"La comida es de muy baja calidad, ni siquiera las salsas de los rollos saben a algo. El alga es difícil de masticar y los vasos estaban mal fregados. Food: 2 Service: 1 Atmosphere: 1",,,restaurantguru
rg_045de5b93d,Sushi Express | Punta Pacifica,"Sushi, Japonesa",Panamá,$$,1.9,,Muy buen producto y excelente atención. Food: 5 Service: 5 Atmosphere: 5 Price per person: PAB 10–15,,,restaurantguru
rg_045de5b93d,Sushi Express | Punta Pacifica,"Sushi, Japonesa",Panamá,$$,1.9,,Pedimos sushi y tardaron mucho en encontrar el lugar aunque dimos indicaciones claras y mandamos nuestra ubicación. Incluso era un lugar público asi que no debería haber dificultad para encontrarlo. Una vez que recibimos el pedido me sorprendió solamente recibir una soda porque en la IMAGEN de la promoción estaban dos sodas. Cuando pregunté al señor que entregó la comida simplemente lo negó y era muy cortante. Al final la verdad entiendo que el tráfico sea frustrante pero el servicio era pésimo. Food: 3 Service: 1 Price per person: PAB 20–25,,,restaurantguru
rg_7938f36242,Sabroso Panamá,"Caribeña, Latinoamericana, Centroamericana, Saludable",Panamá,$$,5.0,,"Fully recomendado el lugar siempre es un inmenso placer venir y la atención de julia lo máximo, .. Food: 5 Service: 5 Atmosphere: 5",,,restaurantguru
rg_7938f36242,Sabroso Panamá,"Caribeña, Latinoamericana, Centroamericana, Saludable",Panamá,$$,5.0,,"La atención de la salonera Julia excelente, muy atenta y pendiente de todo. Food: 5 Service: 5 Atmosphere: 5 Price per person: PAB 50+",,,restaurantguru
rg_7938f36242,Sabroso Panamá,"Caribeña, Latinoamericana, Centroamericana, Saludable",Panamá,$$,5.0,,"Todo muy lindo, el show estuvo excelente, pero lo que más me va a animar a regresar, además de la buena comida, es el servicio al cliente SIN COMPARACIÓN de Julia. Sabroso Panamá es afortunado de tenerla en su personal. Viajo mucho y difícilmente encuentro a alguien como ella, tan amable, servicial, honesta, y llena de luz y alegría. Dios te bendiga, Julia! Food: 5 Service: 5 Atmosphere: 5 Meal type: Dinner Price per person: PAB 50+ Vegetarian options: Deliciosa",hace un mes,,restaurantguru
rg_2c12817e95,La Pulpería | Casco Antiguo,"Latinoamericana, Española, Pescado y marisco, Cocktelerías",Panamá,$$$,5.0,,"Recomendado! Buenas comida, buen ambiente y buena bebida con el toque de Cesar el BT, Un CRACK! Food: 5 Service: 5 Atmosphere: 5",,,restaurantguru
rg_2c12817e95,La Pulpería | Casco Antiguo,"Latinoamericana, Española, Pescado y marisco, Cocktelerías",Panamá,$$$,5.0,,Las mejores empanadas que he probado! Moisés fue súper amable y atento. Totalmente recomendado. Food: 5 Service: 5 Atmosphere: 5 Meal type: Dinner Price per person: PAB 25–30,,,restaurantguru
rg_2c12817e95,La Pulpería | Casco Antiguo,"Latinoamericana, Española, Pescado y marisco, Cocktelerías",Panamá,$$$,5.0,,"Excelente comida y bebida, probé el ceviche frito y la papas crispy con camarón rebozado, acompañado de unas copas de vino tempranillo. Food: 5 Service: 5 Atmosphere: 5 Meal type: Dinner Price per person: PAB 25–30",,,restaurantguru
rg_872852b726,la tapa del coco,"Caribeña, Latinoamericana, Panameña",Panamá,$$,4.9,,"Excelente la comida, la atención de Valentina muy buena, muy amable. Súper recomendado. Una cocina muy creativa, con preparaciones e ingredientes autóctonos panameños. Food: 5 Service: 5 Atmosphere: 5 Meal type: Dinner Price per person: PAB 50+",,,restaurantguru
rg_872852b726,la tapa del coco,"Caribeña, Latinoamericana, Panameña",Panamá,$$,4.9,,"La comida está rica aunque con precio de turista. Le pongo 3 estrellas porque mi comida demoró en servirse y en cambio, le sirvieron apenas que llegaron y antes que a mí a la mesa contigua que incluía un grupo de 4 personas (amigos del chefs). Qué mala impresión me dejó eso.",,,restaurantguru
rg_872852b726,la tapa del coco,"Caribeña, Latinoamericana, Panameña",Panamá,$$,4.9,,La comida atención y ambiente 10000/10 . La tapa del coco es obligatorio. Agradezco a Dana Valentina por la atención que nos dio durante nue. Food: 5 Service: 5 Atmosphere: 5,,,restaurantguru
